10828,12436,-6312
10498,12334,-5050
8974,12308,-5404
8618,12768,-4388
8774,13138,-6516
7966,13942,-5098
7276,13300,-6030
10226,11340,-4634
6732,14188,-4698
6670,13228,-6178
9630,13736,-4788
7684,8742,1948
11860,8860,-6618
11446,9656,-6566
11082,9320,-6772
11196,9344,-6936
10626,11174,-4830
11208,10626,-3170
9334,12806,-4268
8764,12392,-5520
9340,10550,-4506
8696,13682,-3596
9042,12716,-4440
9558,12402,-4614
9722,11820,-2172
8190,13792,-4126
8286,13058,-5036
10532,12858,-3684
7808,13224,-4990
8140,12884,-5316
8700,12510,-5486
9832,13060,-1840
7460,13456,-4774
8044,13258,-4880
10726,11664,-3660
8456,12994,-3720
7696,13436,-4996
7976,13124,-5134
8458,13934,-5970
9086,13316,-3264
8572,13460,-3270
9314,5746,-7606
13842,5472,-7470
12232,9960,-3974
10432,13088,-3280
8904,11348,-6856
9566,12528,-6074
9790,12396,-4242
8486,12968,-5454
9538,11758,-5416
8662,12326,-3874
8120,13036,-5118
8872,12440,-5930
9578,12350,-3766
8382,12846,-5386
8168,12702,-5896
8300,11838,-7128
9758,14070,-2818
7734,13382,-5614
8688,13048,-4870
8104,13264,-4758
9540,9570,-8384
16384,3550,-474
14466,6042,-6472
14868,5490,-4002
14756,4512,-5244
14358,4996,-7554
10948,7174,-9198
11610,7444,-8440
11478,7928,-8478
11564,7934,-8376
11822,10402,-3716
10726,9882,-4186
10046,11902,-4418
8860,12824,-5024
8546,5402,-12502
14936,2922,-5384
10516,2364,-10564
14974,7336,-7066
12608,9176,-5324
12854,9528,-5466
