7588,12954,-3522
8236,15528,-5294
7978,11038,-3888
8432,16924,-3588
8538,9208,-2328
9168,11396,-2032
9322,14498,-1408
8424,9616,-2770
8518,16396,-2096
7268,17478,-4120
8028,9800,-3472
7772,13096,-3056
7658,18870,-2894
6684,15596,-4534
5952,11792,-4072
6848,11820,-1532
8762,13274,-2266
7660,16928,-3140
7974,16560,-4302
7810,14552,-1388
7994,15576,-2692
8230,12772,-2460
8358,11860,-2858
9026,17304,-3590
8570,16044,-2960
8632,17716,-2538
8800,16398,-578
8450,15538,-3356
8272,9612,-2920
8190,11310,-1536
7760,15726,-4048
7966,15026,-1450
8694,11066,-2278
8166,12584,-3492
7924,14962,-2512
7880,9926,-3526
8038,14916,-4456
8274,11774,-2522
8014,10546,-4970
10254,18310,-4098
8074,9982,-3894
8728,15678,-5026
8138,9962,-3932
8038,15580,-3792
8312,12954,-3560
8128,14402,-4152
7862,15744,-4016
6424,13394,-6242
7532,13692,-4560
6260,15040,-3916
4576,14840,-5498
4906,13628,-6056
6612,13484,-6102
6954,13058,-6090
