4804,15338,562
5376,15450,1828
7100,15160,2274
5688,15258,1998
6018,15218,1594
6016,14926,1372
5780,15100,1262
5990,15418,1586
6686,15068,1662
6466,15462,622
5896,15206,946
6688,13966,858
6034,16416,-442
6958,14712,562
5938,14042,-452
7346,14986,-186
8072,15510,252
7264,14042,-768
7834,14550,-736
8316,14810,-200
7996,13648,-1410
9732,15916,-540
7502,13180,-2844
7290,13186,-3924
7302,14018,-3780
7058,13678,-4490
7376,13740,-3684
6808,14106,-3406
7860,14452,-2394
7728,14444,-2248
7680,14560,-2538
7292,14912,-1888
9206,14156,-1010
7862,12308,-2048
8494,15396,-2058
7434,13854,-2102
7836,14954,-3736
2024,17416,2860
2666,15882,2502
1800,15318,3488
-1392,15730,2862
586,16902,2668
1606,16756,2208
258,15278,1836
1548,16620,1322
862,15776,1136
2430,16910,272
2562,15732,1576
1862,16486,-1164
3350,18296,924
3598,18370,214
3432,16442,-274
3834,17850,-1054
3074,15432,738
3586,16312,-490
3824,15632,-888
4408,16508,-124
4846,15488,-758
6796,15058,-816
6518,14484,168
6154,15190,-114
6698,15224,-212
6800,14880,340
7112,14878,166
7504,14294,-76
7398,14268,54
6996,15150,342
6920,14844,14
6972,14914,182
7010,14860,160
7026,14746,94
7074,14778,78
7048,14892,16
7026,14742,108
7082,14848,-36
7212,14740,-124
6802,14138,240
6560,15038,68
6902,14666,856
6996,14862,414
6988,14038,556
6950,14792,962
6858,15070,1248
6966,14778,740
7016,14836,656
6926,15188,790
7032,14780,882
7000,14930,1008
7072,14876,782
7034,14850,766
7038,14752,888
7022,14858,846
7022,15068,812
6962,14836,660
6942,14802,758
6942,14808,704
6890,14926,754
6926,14906,704
6890,14816,870
6908,14930,776
