-15376,-604,7582
-13320,6138,6294
-14800,5006,6012
-14044,5190,5662
-12220,6774,7108
-11344,7954,8708
-15208,2806,7846
-13818,4180,7988
-12756,6356,8284
-13076,6608,7574
-14716,1564,10828
-12604,2800,9128
-12156,5710,9458
-14840,5886,9910
-13678,3452,7834
-12376,5826,8802
-11464,6720,9700
-14032,596,9576
-13280,3318,8946
-12294,5898,9202
-14292,1468,9128
-13724,1256,9180
-12608,4062,9612
-18902,6640,10892
-13506,1578,9008
-12396,4584,9650
-12840,4890,8476
-13858,918,10072
-14488,3392,7906
-13584,4796,7696
-13570,3656,6816
-11798,6590,9424
-14808,2296,8382
-14400,514,8470
-13868,2564,8420
-12790,4910,9116
-13810,-1198,8424
-13484,1994,9114
-14732,4668,9092
-14234,-948,8450
-14622,1734,5290
-15310,-3092,5626
-15652,-776,4596
-15488,-282,4544
-14932,-276,5376
-15444,-204,4416
-15346,-498,3878
-15536,-858,4354
-14878,-258,5564
-15120,-1408,5658
